"manuscript","signature","library"
"https://imagoarchive.it/ontology/resources/manuscript/parigi/bibliothèque_nationale_de_france/_lat._11138/104v-116r"," lat. 11138","Bibliothèque nationale de France"
"https://imagoarchive.it/ontology/resources/manuscript/città_del_vaticano/archivio_segreto_vaticano/collectoriae_203/138-182","Collectoriae 203","Archivio Segreto Vaticano"
"https://imagoarchive.it/ontology/resources/manuscript/uppsala/uppsala_university_library/c_26/22r-40r","C 26","Uppsala University Library"
"https://imagoarchive.it/ontology/resources/manuscript/monaco_di_baviera/bayerische_staatsbibliothek/clm_19411/9r","Clm 19411","Bayerische Staatsbibliothek"
"https://imagoarchive.it/ontology/resources/manuscript/monaco_di_baviera/bayerische_staatsbibliothek/clm_18953/62r","Clm 18953","Bayerische Staatsbibliothek"
"https://imagoarchive.it/ontology/resources/manuscript/oxford/biblioteca_bodleiana/648/13v-18v","648","Biblioteca Bodleiana"
"https://imagoarchive.it/ontology/resources/manuscript/berna/berna,_burgerbibliothek/cod._458/104v-105v","Cod. 458","Berna, Burgerbibliothek"
"https://imagoarchive.it/ontology/resources/manuscript/reims/bibliothèque_municipale_de_reims/142/85v-86v","142","Bibliothèque municipale de Reims"
"https://imagoarchive.it/ontology/resources/manuscript/filadelfia/philadelphia,_free_library/john_f._lewis_ms.1/94v-99r","John F. Lewis Ms.1","Philadelphia, Free Library"
"https://imagoarchive.it/ontology/resources/manuscript/monaco_di_baviera/bayerische_staatsbibliothek/clm_2928/37v-39r","Clm 2928","Bayerische Staatsbibliothek"
"https://imagoarchive.it/ontology/resources/manuscript/berlino/biblioteca_statale_berlinese_-_patrimonio_culturale_prussiano/ms.theol.lat._fol.587/92v–94r","MS.theol.lat. fol.587","Biblioteca statale berlinese - Patrimonio culturale prussiano"
"https://imagoarchive.it/ontology/resources/manuscript/stoccarda/__stuttgart,_württembergische_landesbibliothek/theol._et_phil._2°_100/345v–353v","Theol. et phil. 2° 100","  Stuttgart, Württembergische Landesbibliothek"
"https://imagoarchive.it/ontology/resources/manuscript/monaco_di_baviera/bayerische_staatsbibliothek/clm_4143/53r-56v;87r-90r","Clm 4143","Bayerische Staatsbibliothek"
"https://imagoarchive.it/ontology/resources/manuscript/bruxelles/__bruxelles,_kbr_(olim_bibliothèque_royale_«albert_ier»)/1160-1163_(3142)/55r-62r","1160-1163 (3142)","  Bruxelles, KBR (olim Bibliothèque Royale «Albert Ier»)"
